VIDEO,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3
https://s3.amazonaws.com/voxsim-videos/video/move_the_plate/move_the_plate-2017-03-16-133934.mp4,move the plate,lean the plate on the apple,flip the plate on edge
https://s3.amazonaws.com/voxsim-videos/video/move_the_plate/move_the_plate-2017-03-16-133938.mp4,lean the plate against the cup,lean the plate against the knife,move the plate
https://s3.amazonaws.com/voxsim-videos/video/move_the_cup/move_the_cup-2017-03-16-133946.mp4,close the cup,move the cup,put the cup on the pencil
https://s3.amazonaws.com/voxsim-videos/video/move_the_cup/move_the_cup-2017-03-16-133954.mp4,move the cup,put the cup touching the book,put the cup near the cork
https://s3.amazonaws.com/voxsim-videos/video/move_the_cup/move_the_cup-2017-03-16-134000.mp4,lift the cup,lean the cup against the block,move the cup
https://s3.amazonaws.com/voxsim-videos/video/move_the_disc/move_the_disc-2017-03-16-134004.mp4,move the disc,put the disc on the grape,turn the disc
https://s3.amazonaws.com/voxsim-videos/video/move_the_disc/move_the_disc-2017-03-16-134008.mp4,spin the disc,lean the disc on the apple,move the disc
https://s3.amazonaws.com/voxsim-videos/video/move_the_disc/move_the_disc-2017-03-16-134012.mp4,lean the disc on the grape,move the disc,stack the disc and the apple
https://s3.amazonaws.com/voxsim-videos/video/move_the_book/move_the_book-2017-03-16-134018.mp4,slide the book,put the book near the knife,move the book
https://s3.amazonaws.com/voxsim-videos/video/move_the_book/move_the_book-2017-03-16-134024.mp4,move the book,stack the book and the banana,flip the book at center
https://s3.amazonaws.com/voxsim-videos/video/move_the_book/move_the_book-2017-03-16-134028.mp4,spin the book,stack the book and the bowl,move the book
https://s3.amazonaws.com/voxsim-videos/video/move_the_blackboard/move_the_blackboard-2017-03-16-134032.mp4,lean the blackboard on the pencil,put the blackboard touching the knife,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/move_the_blackboard/move_the_blackboard-2017-03-16-134042.mp4,move the blackboard,lean the blackboard on the bottle,slide the blackboard
https://s3.amazonaws.com/voxsim-videos/video/move_the_blackboard/move_the_blackboard-2017-03-16-134047.mp4,move the blackboard,spin the blackboard,stack the blackboard ball
https://s3.amazonaws.com/voxsim-videos/video/move_the_bottle/move_the_bottle-2017-03-16-134055.mp4,put the bottle touching the knife,put the bottle near the cork,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/move_the_bottle/move_the_bottle-2017-03-16-134108.mp4,move the bottle,slide the bottle,put the bottle touching the plate
https://s3.amazonaws.com/voxsim-videos/video/move_the_bottle/move_the_bottle-2017-03-16-134112.mp4,put the bottle touching the paper sheet,move the bottle,lean the bottle on the cork
https://s3.amazonaws.com/voxsim-videos/video/move_the_grape/move_the_grape-2017-03-16-134118.mp4,put the grape near the apple,move the grape,lean the grape against the pencil
https://s3.amazonaws.com/voxsim-videos/video/move_the_grape/move_the_grape-2017-03-16-134122.mp4,lean the grape against the grape,flip the grape at center,move the grape
https://s3.amazonaws.com/voxsim-videos/video/move_the_grape/move_the_grape-2017-03-16-134126.mp4,move the grape,put the grape in the bowl,turn the grape
https://s3.amazonaws.com/voxsim-videos/video/move_the_apple/move_the_apple-2017-03-16-193825.mp4,turn the apple,move the apple,put the apple near the spoon
https://s3.amazonaws.com/voxsim-videos/video/move_the_apple/move_the_apple-2017-03-16-193829.mp4,move the apple,roll the apple,stack the apple and the block
https://s3.amazonaws.com/voxsim-videos/video/move_the_apple/move_the_apple-2017-03-16-193834.mp4,put the apple on the knife,move the apple,put the apple on the plate
https://s3.amazonaws.com/voxsim-videos/video/move_the_banana/move_the_banana-2017-03-16-193838.mp4,put the banana near the pencil,move the banana,turn the banana
https://s3.amazonaws.com/voxsim-videos/video/move_the_banana/move_the_banana-2017-03-16-193842.mp4,lean the banana against the spoon,move the banana,flip the banana at center
https://s3.amazonaws.com/voxsim-videos/video/move_the_banana/move_the_banana-2017-03-16-193849.mp4,move the banana,stack the banana cork,grasp the banana
https://s3.amazonaws.com/voxsim-videos/video/move_the_bowl/move_the_bowl-2017-03-16-193854.mp4,put the bowl near the cup,lean the bowl against the cup,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/move_the_bowl/move_the_bowl-2017-03-16-193859.mp4,move the bowl,turn the bowl,put the bowl on the book
https://s3.amazonaws.com/voxsim-videos/video/move_the_bowl/move_the_bowl-2017-03-16-193903.mp4,stack the bowl and the block,stack the bowl cup,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/move_the_knife/move_the_knife-2017-03-16-194405.mp4,move the knife,lean the knife on the cup,put the knife touching the bottle
https://s3.amazonaws.com/voxsim-videos/video/move_the_knife/move_the_knife-2017-03-16-194411.mp4,stack the knife pencil,lean the knife on the plate,move the knife
https://s3.amazonaws.com/voxsim-videos/video/move_the_knife/move_the_knife-2017-03-16-194415.mp4,put the knife touching the plate,move the knife,lean the knife against the cup
https://s3.amazonaws.com/voxsim-videos/video/move_the_pencil/move_the_pencil-2017-03-16-194420.mp4,move the pencil,put the pencil on the disc,slide the pencil
https://s3.amazonaws.com/voxsim-videos/video/move_the_pencil/move_the_pencil-2017-03-16-195428.mp4,lift the pencil,move the pencil,put the pencil touching the cup
https://s3.amazonaws.com/voxsim-videos/video/move_the_pencil/move_the_pencil-2017-03-16-195733.mp4,move the pencil,put the pencil touching the spoon,roll the pencil
https://s3.amazonaws.com/voxsim-videos/video/move_the_paper_sheet/move_the_paper_sheet-2017-03-16-200950.mp4,move the paper sheet,stack the paper sheet bowl,put the paper sheet near the book
https://s3.amazonaws.com/voxsim-videos/video/move_the_paper_sheet/move_the_paper_sheet-2017-03-16-200959.mp4,put the paper sheet on the plate,spin the paper sheet,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/move_the_paper_sheet/move_the_paper_sheet-2017-03-16-201222.mp4,stack the paper sheet bowl,move the paper sheet,lean the paper sheet against the bottle
https://s3.amazonaws.com/voxsim-videos/video/turn_the_block/turn_the_block-2017-03-17-002320.mp4,move the block,flip the block on edge,turn the block
https://s3.amazonaws.com/voxsim-videos/video/turn_the_block/turn_the_block-2017-03-17-002326.mp4,turn the block,put the block near the pencil,move the block
https://s3.amazonaws.com/voxsim-videos/video/turn_the_block/turn_the_block-2017-03-17-002332.mp4,stack the block and the knife,move the block,turn the block
https://s3.amazonaws.com/voxsim-videos/video/turn_the_ball/turn_the_ball-2017-03-17-002338.mp4,put the ball near the banana,move the ball,turn the ball
https://s3.amazonaws.com/voxsim-videos/video/turn_the_ball/turn_the_ball-2017-03-17-002344.mp4,move the ball,turn the ball,roll the ball
https://s3.amazonaws.com/voxsim-videos/video/turn_the_ball/turn_the_ball-2017-03-17-002350.mp4,turn the ball,move the ball,lean the ball against the disc
https://s3.amazonaws.com/voxsim-videos/video/turn_the_plate/turn_the_plate-2017-03-17-003211.mp4,roll the plate,move the plate,turn the plate
https://s3.amazonaws.com/voxsim-videos/video/turn_the_plate/turn_the_plate-2017-03-17-003217.mp4,lean the plate on the apple,turn the plate,move the plate
https://s3.amazonaws.com/voxsim-videos/video/turn_the_plate/turn_the_plate-2017-03-17-003223.mp4,move the plate,roll the plate,turn the plate
https://s3.amazonaws.com/voxsim-videos/video/turn_the_cup/turn_the_cup-2017-03-17-003230.mp4,flip the cup on edge,turn the cup,move the cup
https://s3.amazonaws.com/voxsim-videos/video/turn_the_cup/turn_the_cup-2017-03-17-003236.mp4,lean the cup against the disc,turn the cup,move the cup
https://s3.amazonaws.com/voxsim-videos/video/turn_the_cup/turn_the_cup-2017-03-17-003242.mp4,move the cup,spin the cup,turn the cup
https://s3.amazonaws.com/voxsim-videos/video/turn_the_disc/turn_the_disc-2017-03-17-003248.mp4,move the disc,stack the disc and the banana,turn the disc
https://s3.amazonaws.com/voxsim-videos/video/turn_the_disc/turn_the_disc-2017-03-17-003254.mp4,lean the disc on the block,turn the disc,move the disc
https://s3.amazonaws.com/voxsim-videos/video/turn_the_disc/turn_the_disc-2017-03-17-003300.mp4,turn the disc,move the disc,flip the disc at center
https://s3.amazonaws.com/voxsim-videos/video/turn_the_book/turn_the_book-2017-03-17-003305.mp4,turn the book,lean the book on the apple,move the book
https://s3.amazonaws.com/voxsim-videos/video/turn_the_book/turn_the_book-2017-03-17-003313.mp4,stack the book and the apple,turn the book,move the book
https://s3.amazonaws.com/voxsim-videos/video/turn_the_book/turn_the_book-2017-03-17-003318.mp4,turn the book,lean the book against the pencil,move the book
https://s3.amazonaws.com/voxsim-videos/video/turn_the_blackboard/turn_the_blackboard-2017-03-17-003324.mp4,lean the blackboard on the disc,move the blackboard,turn the blackboard
https://s3.amazonaws.com/voxsim-videos/video/turn_the_blackboard/turn_the_blackboard-2017-03-17-003329.mp4,turn the blackboard,spin the blackboard,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/turn_the_blackboard/turn_the_blackboard-2017-03-17-003334.mp4,turn the blackboard,spin the blackboard,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/turn_the_bottle/turn_the_bottle-2017-03-17-003346.mp4,put the bottle near the blackboard,turn the bottle,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/turn_the_bottle/turn_the_bottle-2017-03-17-003352.mp4,flip the bottle on edge,turn the bottle,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/turn_the_bottle/turn_the_bottle-2017-03-17-003356.mp4,turn the bottle,move the bottle,put the bottle on the plate
https://s3.amazonaws.com/voxsim-videos/video/turn_the_grape/turn_the_grape-2017-03-17-003402.mp4,spin the grape,turn the grape,move the grape
https://s3.amazonaws.com/voxsim-videos/video/turn_the_grape/turn_the_grape-2017-03-17-003411.mp4,turn the grape,put the grape on the pencil,move the grape
https://s3.amazonaws.com/voxsim-videos/video/turn_the_grape/turn_the_grape-2017-03-17-003417.mp4,move the grape,turn the grape,lean the grape on the block
https://s3.amazonaws.com/voxsim-videos/video/turn_the_apple/turn_the_apple-2017-03-17-003714.mp4,move the apple,put the apple on the book,turn the apple
https://s3.amazonaws.com/voxsim-videos/video/turn_the_apple/turn_the_apple-2017-03-17-003720.mp4,turn the apple,move the apple,flip the apple on edge
https://s3.amazonaws.com/voxsim-videos/video/turn_the_apple/turn_the_apple-2017-03-17-003725.mp4,put the apple near the apple,turn the apple,move the apple
https://s3.amazonaws.com/voxsim-videos/video/turn_the_banana/turn_the_banana-2017-03-17-003731.mp4,move the banana,turn the banana,spin the banana
https://s3.amazonaws.com/voxsim-videos/video/turn_the_banana/turn_the_banana-2017-03-17-003809.mp4,turn the banana,move the banana,flip the banana at center
https://s3.amazonaws.com/voxsim-videos/video/turn_the_banana/turn_the_banana-2017-03-17-003814.mp4,turn the banana,put the banana on the knife,move the banana
https://s3.amazonaws.com/voxsim-videos/video/turn_the_bowl/turn_the_bowl-2017-03-17-003820.mp4,turn the bowl,move the bowl,roll the bowl
https://s3.amazonaws.com/voxsim-videos/video/turn_the_bowl/turn_the_bowl-2017-03-17-003828.mp4,put the bowl near the block,turn the bowl,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/turn_the_bowl/turn_the_bowl-2017-03-17-003834.mp4,put the bowl on the knife,turn the bowl,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/turn_the_knife/turn_the_knife-2017-03-17-003841.mp4,put the knife near the pencil,turn the knife,move the knife
https://s3.amazonaws.com/voxsim-videos/video/turn_the_knife/turn_the_knife-2017-03-17-003847.mp4,lean the knife against the cup,move the knife,turn the knife
https://s3.amazonaws.com/voxsim-videos/video/turn_the_knife/turn_the_knife-2017-03-17-003853.mp4,move the knife,turn the knife,spin the knife
https://s3.amazonaws.com/voxsim-videos/video/turn_the_pencil/turn_the_pencil-2017-03-17-003858.mp4,turn the pencil,put the pencil near the disc,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/turn_the_pencil/turn_the_pencil-2017-03-17-003904.mp4,move the pencil,turn the pencil,flip the pencil at center
https://s3.amazonaws.com/voxsim-videos/video/turn_the_pencil/turn_the_pencil-2017-03-17-003910.mp4,put the pencil touching the blackboard,turn the pencil,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/turn_the_paper_sheet/turn_the_paper_sheet-2017-03-17-003916.mp4,flip the paper sheet at center,turn the paper sheet,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/turn_the_paper_sheet/turn_the_paper_sheet-2017-03-17-003921.mp4,turn the paper sheet,move the paper sheet,flip the paper sheet at center
https://s3.amazonaws.com/voxsim-videos/video/turn_the_paper_sheet/turn_the_paper_sheet-2017-03-17-003926.mp4,lean the paper sheet against the pencil,move the paper sheet,turn the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/lift_the_block/lift_the_block-2017-03-17-010428.mp4,lift the block,put the block near the bottle,move the block
https://s3.amazonaws.com/voxsim-videos/video/lift_the_block/lift_the_block-2017-03-17-010435.mp4,lift the block,lean the block on the knife,move the block
https://s3.amazonaws.com/voxsim-videos/video/lift_the_block/lift_the_block-2017-03-17-010442.mp4,lift the block,move the block,put the block touching the bottle
https://s3.amazonaws.com/voxsim-videos/video/lift_the_ball/lift_the_ball-2017-03-17-010449.mp4,lift the ball,move the ball,put the ball on the ball
https://s3.amazonaws.com/voxsim-videos/video/lift_the_ball/lift_the_ball-2017-03-17-010455.mp4,put the ball touching the bowl,move the ball,lift the ball
https://s3.amazonaws.com/voxsim-videos/video/lift_the_ball/lift_the_ball-2017-03-17-010502.mp4,lean the ball on the bottle,lift the ball,move the ball
https://s3.amazonaws.com/voxsim-videos/video/lift_the_plate/lift_the_plate-2017-03-17-010510.mp4,put the plate near the pencil,move the plate,lift the plate
https://s3.amazonaws.com/voxsim-videos/video/lift_the_plate/lift_the_plate-2017-03-17-010519.mp4,move the plate,lift the plate,put the plate on the blackboard
https://s3.amazonaws.com/voxsim-videos/video/lift_the_plate/lift_the_plate-2017-03-17-010525.mp4,lean the plate against the cup,lift the plate,move the plate
https://s3.amazonaws.com/voxsim-videos/video/lift_the_cup/lift_the_cup-2017-03-17-010532.mp4,stack the cup and the disc,lift the cup,move the cup
https://s3.amazonaws.com/voxsim-videos/video/lift_the_cup/lift_the_cup-2017-03-17-010543.mp4,move the cup,put the cup near the apple,lift the cup
https://s3.amazonaws.com/voxsim-videos/video/lift_the_cup/lift_the_cup-2017-03-17-010550.mp4,lift the cup,move the cup,lean the cup on the pencil
https://s3.amazonaws.com/voxsim-videos/video/lift_the_disc/lift_the_disc-2017-03-17-010556.mp4,lift the disc,put the disc near the bowl,move the disc
https://s3.amazonaws.com/voxsim-videos/video/lift_the_disc/lift_the_disc-2017-03-17-010602.mp4,lift the disc,lean the disc against the disc,move the disc
https://s3.amazonaws.com/voxsim-videos/video/lift_the_disc/lift_the_disc-2017-03-17-010608.mp4,move the disc,put the disc near the cup,lift the disc
https://s3.amazonaws.com/voxsim-videos/video/lift_the_book/lift_the_book-2017-03-17-010614.mp4,move the book,lift the book,put the book on the book
https://s3.amazonaws.com/voxsim-videos/video/lift_the_book/lift_the_book-2017-03-17-010638.mp4,move the book,lift the book,touch the book
https://s3.amazonaws.com/voxsim-videos/video/lift_the_book/lift_the_book-2017-03-17-010701.mp4,move the book,stack the book and the ball,lift the book
https://s3.amazonaws.com/voxsim-videos/video/lift_the_blackboard/lift_the_blackboard-2017-03-17-010724.mp4,lift the blackboard,move the blackboard,turn the blackboard
https://s3.amazonaws.com/voxsim-videos/video/lift_the_blackboard/lift_the_blackboard-2017-03-17-010731.mp4,put the blackboard touching the blackboard,move the blackboard,lift the blackboard
https://s3.amazonaws.com/voxsim-videos/video/lift_the_blackboard/lift_the_blackboard-2017-03-17-010739.mp4,lift the blackboard,move the blackboard,put the blackboard near the pencil
https://s3.amazonaws.com/voxsim-videos/video/lift_the_bottle/lift_the_bottle-2017-03-17-010802.mp4,lift the bottle,move the bottle,put the bottle on the block
https://s3.amazonaws.com/voxsim-videos/video/lift_the_bottle/lift_the_bottle-2017-03-17-010808.mp4,lift the bottle,stack the bottle and the cup,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/lift_the_bottle/lift_the_bottle-2017-03-17-010815.mp4,close the bottle,move the bottle,lift the bottle
https://s3.amazonaws.com/voxsim-videos/video/lift_the_grape/lift_the_grape-2017-03-17-010822.mp4,lift the grape,move the grape,stack the grape and the spoon
https://s3.amazonaws.com/voxsim-videos/video/lift_the_grape/lift_the_grape-2017-03-17-010828.mp4,lift the grape,stack the grape and the pencil,move the grape
https://s3.amazonaws.com/voxsim-videos/video/lift_the_grape/lift_the_grape-2017-03-17-010834.mp4,stack the grape and the blackboard,move the grape,lift the grape
https://s3.amazonaws.com/voxsim-videos/video/lift_the_apple/lift_the_apple-2017-03-17-010840.mp4,move the apple,lift the apple,touch the apple
https://s3.amazonaws.com/voxsim-videos/video/lift_the_apple/lift_the_apple-2017-03-17-010846.mp4,turn the apple,lift the apple,move the apple
https://s3.amazonaws.com/voxsim-videos/video/lift_the_apple/lift_the_apple-2017-03-17-010852.mp4,move the apple,touch the apple,lift the apple
https://s3.amazonaws.com/voxsim-videos/video/lift_the_banana/lift_the_banana-2017-03-17-010858.mp4,lift the banana,move the banana,put the banana near the banana
https://s3.amazonaws.com/voxsim-videos/video/lift_the_banana/lift_the_banana-2017-03-17-010905.mp4,move the banana,put the banana near the bowl,lift the banana
https://s3.amazonaws.com/voxsim-videos/video/lift_the_banana/lift_the_banana-2017-03-17-010911.mp4,lift the banana,spin the banana,move the banana
https://s3.amazonaws.com/voxsim-videos/video/lift_the_bowl/lift_the_bowl-2017-03-17-010919.mp4,lean the bowl on the block,lift the bowl,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/lift_the_bowl/lift_the_bowl-2017-03-17-010925.mp4,lift the bowl,lean the bowl on the knife,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/lift_the_bowl/lift_the_bowl-2017-03-17-010931.mp4,lift the bowl,stack the bowl and the banana,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/lift_the_knife/lift_the_knife-2017-03-17-010937.mp4,put the knife on the apple,move the knife,lift the knife
https://s3.amazonaws.com/voxsim-videos/video/lift_the_knife/lift_the_knife-2017-03-17-011001.mp4,put the knife near the cup,lift the knife,move the knife
https://s3.amazonaws.com/voxsim-videos/video/lift_the_knife/lift_the_knife-2017-03-17-011024.mp4,lean the knife against the book,move the knife,lift the knife
https://s3.amazonaws.com/voxsim-videos/video/lift_the_pencil/lift_the_pencil-2017-03-17-011047.mp4,put the pencil touching the cup,move the pencil,lift the pencil
https://s3.amazonaws.com/voxsim-videos/video/lift_the_pencil/lift_the_pencil-2017-03-17-011053.mp4,move the pencil,lift the pencil,stack the pencil and the ball
https://s3.amazonaws.com/voxsim-videos/video/lift_the_pencil/lift_the_pencil-2017-03-17-011059.mp4,lean the pencil on the bowl,lift the pencil,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/lift_the_paper_sheet/lift_the_paper_sheet-2017-03-17-011105.mp4,move the paper sheet,put the paper sheet on the pencil,lift the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/lift_the_paper_sheet/lift_the_paper_sheet-2017-03-17-011112.mp4,lift the paper sheet,put the paper sheet touching the paper sheet,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/lift_the_paper_sheet/lift_the_paper_sheet-2017-03-17-011118.mp4,lift the paper sheet,put the paper sheet on the book,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/spin_the_block/spin_the_block-2017-03-17-011422.mp4,move the block,roll the block,spin the block
https://s3.amazonaws.com/voxsim-videos/video/spin_the_block/spin_the_block-2017-03-17-011428.mp4,move the block,spin the block,turn the block
https://s3.amazonaws.com/voxsim-videos/video/spin_the_block/spin_the_block-2017-03-17-011435.mp4,turn the block,move the block,spin the block
https://s3.amazonaws.com/voxsim-videos/video/spin_the_ball/spin_the_ball-2017-03-17-011447.mp4,spin the ball,move the ball,turn the ball
https://s3.amazonaws.com/voxsim-videos/video/spin_the_ball/spin_the_ball-2017-03-17-011454.mp4,turn the ball,roll the ball,spin the ball
https://s3.amazonaws.com/voxsim-videos/video/spin_the_ball/spin_the_ball-2017-03-17-011459.mp4,spin the ball,turn the ball,move the ball
https://s3.amazonaws.com/voxsim-videos/video/spin_the_plate/spin_the_plate-2017-03-17-011627.mp4,move the plate,spin the plate,turn the plate
https://s3.amazonaws.com/voxsim-videos/video/spin_the_plate/spin_the_plate-2017-03-17-011635.mp4,turn the plate,move the plate,spin the plate
https://s3.amazonaws.com/voxsim-videos/video/spin_the_plate/spin_the_plate-2017-03-17-011641.mp4,move the plate,spin the plate,turn the plate
https://s3.amazonaws.com/voxsim-videos/video/spin_the_cup/spin_the_cup-2017-03-17-011649.mp4,roll the cup,spin the cup,turn the cup
https://s3.amazonaws.com/voxsim-videos/video/spin_the_cup/spin_the_cup-2017-03-17-011655.mp4,spin the cup,move the cup,turn the cup
https://s3.amazonaws.com/voxsim-videos/video/spin_the_cup/spin_the_cup-2017-03-17-011701.mp4,move the cup,turn the cup,spin the cup
https://s3.amazonaws.com/voxsim-videos/video/spin_the_disc/spin_the_disc-2017-03-17-011708.mp4,spin the disc,move the disc,turn the disc
https://s3.amazonaws.com/voxsim-videos/video/spin_the_disc/spin_the_disc-2017-03-17-011714.mp4,spin the disc,turn the disc,move the disc
https://s3.amazonaws.com/voxsim-videos/video/spin_the_disc/spin_the_disc-2017-03-17-011721.mp4,spin the disc,turn the disc,roll the disc
https://s3.amazonaws.com/voxsim-videos/video/spin_the_book/spin_the_book-2017-03-17-011735.mp4,spin the book,move the book,turn the book
https://s3.amazonaws.com/voxsim-videos/video/spin_the_book/spin_the_book-2017-03-17-011740.mp4,move the book,turn the book,spin the book
https://s3.amazonaws.com/voxsim-videos/video/spin_the_book/spin_the_book-2017-03-17-011746.mp4,turn the book,move the book,spin the book
https://s3.amazonaws.com/voxsim-videos/video/spin_the_blackboard/spin_the_blackboard-2017-03-17-011751.mp4,move the blackboard,turn the blackboard,spin the blackboard
https://s3.amazonaws.com/voxsim-videos/video/spin_the_blackboard/spin_the_blackboard-2017-03-17-011758.mp4,spin the blackboard,move the blackboard,turn the blackboard
https://s3.amazonaws.com/voxsim-videos/video/spin_the_blackboard/spin_the_blackboard-2017-03-17-011805.mp4,spin the blackboard,turn the blackboard,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/spin_the_bottle/spin_the_bottle-2017-03-17-011811.mp4,move the bottle,spin the bottle,turn the bottle
https://s3.amazonaws.com/voxsim-videos/video/spin_the_bottle/spin_the_bottle-2017-03-17-011817.mp4,move the bottle,spin the bottle,roll the bottle
https://s3.amazonaws.com/voxsim-videos/video/spin_the_bottle/spin_the_bottle-2017-03-17-011824.mp4,move the bottle,spin the bottle,turn the bottle
https://s3.amazonaws.com/voxsim-videos/video/spin_the_grape/spin_the_grape-2017-03-17-011832.mp4,move the grape,spin the grape,turn the grape
https://s3.amazonaws.com/voxsim-videos/video/spin_the_grape/spin_the_grape-2017-03-17-011838.mp4,move the grape,turn the grape,spin the grape
https://s3.amazonaws.com/voxsim-videos/video/spin_the_grape/spin_the_grape-2017-03-17-011845.mp4,move the grape,turn the grape,spin the grape
https://s3.amazonaws.com/voxsim-videos/video/spin_the_apple/spin_the_apple-2017-03-17-011852.mp4,turn the apple,spin the apple,move the apple
https://s3.amazonaws.com/voxsim-videos/video/spin_the_apple/spin_the_apple-2017-03-17-011858.mp4,turn the apple,spin the apple,move the apple
https://s3.amazonaws.com/voxsim-videos/video/spin_the_apple/spin_the_apple-2017-03-17-011904.mp4,spin the apple,turn the apple,move the apple
https://s3.amazonaws.com/voxsim-videos/video/spin_the_banana/spin_the_banana-2017-03-17-011911.mp4,turn the banana,spin the banana,move the banana
https://s3.amazonaws.com/voxsim-videos/video/spin_the_banana/spin_the_banana-2017-03-17-011917.mp4,move the banana,turn the banana,spin the banana
https://s3.amazonaws.com/voxsim-videos/video/spin_the_banana/spin_the_banana-2017-03-17-011922.mp4,turn the banana,move the banana,spin the banana
https://s3.amazonaws.com/voxsim-videos/video/spin_the_bowl/spin_the_bowl-2017-03-17-011929.mp4,spin the bowl,turn the bowl,move the bowl
